Wavelength,Absorbance
nm, a.u.
1200,-0.004283
1199,-0.004264
1198,-0.004226
1197,-0.004265
1196,-0.004232
1195,-0.004211
1194,-0.004133
1193,-0.00416
1192,-0.004182
1191,-0.004222
1190,-0.004141
1189,-0.004283
1188,-0.004398
1187,-0.004257
1186,-0.00419
1185,-0.004259
1184,-0.004215
1183,-0.004225
1182,-0.004217
1181,-0.004246
1180,-0.004291
1179,-0.004226
1178,-0.004151
1177,-0.004136
1176,-0.004264
1175,-0.00426
1174,-0.00426
1173,-0.004199
1172,-0.004199
1171,-0.00424
1170,-0.004266
1169,-0.004164
1168,-0.004289
1167,-0.004268
1166,-0.004299
1165,-0.004367
1164,-0.004322
1163,-0.004267
1162,-0.004184
1161,-0.004205
1160,-0.004218
1159,-0.004204
1158,-0.004162
1157,-0.004163
1156,-0.004231
1155,-0.004137
1154,-0.004111
1153,-0.004184
1152,-0.004177
1151,-0.004237
1150,-0.004343
1149,-0.004314
1148,-0.004291
1147,-0.004289
1146,-0.004209
1145,-0.00413
1144,-0.004131
1143,-0.004221
1142,-0.004197
1141,-0.004201
1140,-0.004172
1139,-0.004104
1138,-0.004187
1137,-0.004154
1136,-0.00418
1135,-0.004238
1134,-0.00429
1133,-0.004218
1132,-0.004182
1131,-0.004164
1130,-0.004114
1129,-0.004208
1128,-0.004214
1127,-0.00416
1126,-0.004154
1125,-0.004184
1124,-0.004223
1123,-0.004294
1122,-0.004254
1121,-0.004307
1120,-0.004194
1119,-0.004139
1118,-0.004211
1117,-0.004167
1116,-0.004147
1115,-0.004147
1114,-0.004184
1113,-0.004112
1112,-0.004133
1111,-0.004165
1110,-0.004084
1109,-0.004213
1108,-0.004159
1107,-0.004197
1106,-0.004254
1105,-0.004274
1104,-0.004265
1103,-0.004246
1102,-0.004219
1101,-0.00423
1100,-0.004183
1099,-0.004173
1098,-0.004184
1097,-0.00413
1096,-0.004218
1095,-0.004222
1094,-0.004151
1093,-0.004134
1092,-0.00414
1091,-0.004144
1090,-0.004171
1089,-0.004196
1088,-0.004206
1087,-0.004215
1086,-0.00415
1085,-0.004092
1084,-0.004094
1083,-0.004121
1082,-0.004147
1081,-0.00419
1080,-0.004205
1079,-0.004183
1078,-0.004093
1077,-0.00406
1076,-0.004091
1075,-0.0041
1074,-0.004143
1073,-0.004115
1072,-0.004078
1071,-0.003994
1070,-0.00398
1069,-0.004026
1068,-0.003998
1067,-0.004013
1066,-0.004049
1065,-0.003972
1064,-0.003973
1063,-0.004012
1062,-0.004018
1061,-0.004042
1060,-0.004032
1059,-0.004
1058,-0.00399
1057,-0.003992
1056,-0.003951
1055,-0.003933
1054,-0.003944
1053,-0.004008
1052,-0.004074
1051,-0.003988
1050,-0.003884
1049,-0.00387
1048,-0.003867
1047,-0.0039
1046,-0.003927
1045,-0.003942
1044,-0.003956
1043,-0.003867
1042,-0.003793
1041,-0.003835
1040,-0.003874
1039,-0.003928
1038,-0.003967
1037,-0.003951
1036,-0.003877
1035,-0.003803
1034,-0.003764
1033,-0.003769
1032,-0.003779
1031,-0.003822
1030,-0.003782
1029,-0.003763
1028,-0.00376
1027,-0.003744
1026,-0.003777
1025,-0.003805
1024,-0.00379
1023,-0.00375
1022,-0.003748
1021,-0.003737
1020,-0.003805
1019,-0.003765
1018,-0.003688
1017,-0.0037
1016,-0.003751
1015,-0.003771
1014,-0.003763
1013,-0.003717
1012,-0.003731
1011,-0.00371
1010,-0.003688
1009,-0.003712
1008,-0.003692
1007,-0.003723
1006,-0.003702
1005,-0.003655
1004,-0.003778
1003,-0.003685
1002,-0.003641
1001,-0.003654
1000,-0.003709
999,-0.003727
998,-0.003654
997,-0.003683
996,-0.003732
995,-0.003697
994,-0.003668
993,-0.003671
992,-0.003678
991,-0.003742
990,-0.003791
989,-0.003674
988,-0.003679
987,-0.003685
986,-0.003711
985,-0.003744
984,-0.003735
983,-0.00378
982,-0.003786
981,-0.003721
980,-0.003652
979,-0.003768
978,-0.003736
977,-0.00371
976,-0.003762
975,-0.003798
974,-0.003718
973,-0.003744
972,-0.003759
971,-0.003766
970,-0.003743
969,-0.003739
968,-0.003674
967,-0.003725
966,-0.003772
